,match_id,season,date,home_id,away_id,home_goals,away_goals
226,499597,2008/2009,2009-05-13,9790,9911,3,1
227,499598,2008/2009,2009-05-13,10189,10269,1,2
228,499599,2008/2009,2009-05-12,8721,9789,3,0
229,499600,2008/2009,2009-05-13,9810,8697,0,5
230,499601,2008/2009,2009-05-13,9912,8226,0,2
231,499602,2008/2009,2009-05-12,8722,8177,1,2
232,499603,2008/2009,2009-05-13,8398,9788,0,1
233,499604,2008/2009,2009-05-12,8295,9904,2,3
234,499605,2008/2009,2009-05-16,8178,9788,5,0
235,499606,2008/2009,2009-05-16,9790,8722,0,1
236,499607,2008/2009,2009-05-16,9789,9912,6,0
237,499608,2008/2009,2009-05-16,10269,8398,2,0
238,499609,2008/2009,2009-05-16,8697,8295,1,3
239,499610,2008/2009,2009-05-16,8177,10189,0,0
240,499611,2008/2009,2009-05-16,9911,9810,2,0
241,499612,2008/2009,2009-05-16,9904,8721,0,5
242,499613,2008/2009,2009-05-16,8226,9823,2,2
243,499614,2008/2009,2009-05-23,9823,10269,2,1
244,499615,2008/2009,2009-05-23,10189,8226,2,3
245,499616,2008/2009,2009-05-23,8721,8697,5,1
246,499617,2008/2009,2009-05-23,9810,9790,2,3
247,499618,2008/2009,2009-05-23,9912,9904,2,2
248,499619,2008/2009,2009-05-23,8722,9911,1,1
249,499620,2008/2009,2009-05-23,8398,8178,3,0
250,499621,2008/2009,2009-05-23,9788,9789,1,1
251,499622,2008/2009,2009-05-23,8295,8177,4,0
252,499344,2008/2009,2008-09-13,9790,8178,3,2
253,499345,2008/2009,2008-09-13,9789,10189,3,3
254,499346,2008/2009,2008-09-13,8697,8398,3,0
255,499347,2008/2009,2008-09-13,8177,8721,2,2
256,499348,2008/2009,2008-10-22,9810,8295,2,1
257,499349,2008/2009,2008-09-13,8722,9823,0,3
258,499350,2008/2009,2008-09-14,9911,9912,2,0
259,499351,2008/2009,2008-09-14,9904,9788,5,1
260,499352,2008/2009,2008-09-13,8226,10269,0,0
261,499353,2008/2009,2008-09-20,9823,8697,2,5
262,499354,2008/2009,2008-09-19,8178,9904,4,0
263,499355,2008/2009,2008-09-21,10269,8295,3,1
264,499356,2008/2009,2008-09-20,10189,9810,1,0
265,499357,2008/2009,2008-09-21,8721,9790,3,0
266,499358,2008/2009,2008-09-20,9912,8722,2,0
267,499359,2008/2009,2008-09-20,8398,9911,1,1
268,499360,2008/2009,2008-09-20,9788,8177,0,1
269,499361,2008/2009,2008-09-21,8226,9789,4,1
270,499362,2008/2009,2008-09-27,9790,9788,1,0
271,499363,2008/2009,2008-09-27,9789,10269,3,0
272,499364,2008/2009,2008-09-27,8697,8226,5,4
273,499365,2008/2009,2008-09-27,8177,8398,0,1
274,499366,2008/2009,2008-09-28,9810,9912,1,1
275,499367,2008/2009,2008-09-26,8722,10189,1,0
276,499368,2008/2009,2008-09-27,9911,8178,2,3
277,499369,2008/2009,2008-09-27,9904,9823,1,0
278,499370,2008/2009,2008-09-28,8295,8721,2,1
279,499371,2008/2009,2008-10-04,9823,9911,3,3
280,499372,2008/2009,2008-10-04,8178,8177,0,1
281,499373,2008/2009,2008-10-05,9789,9904,1,1
282,499374,2008/2009,2008-10-04,10269,8697,4,1
283,499375,2008/2009,2008-10-05,10189,8721,2,2
284,499376,2008/2009,2008-10-03,9912,8295,1,2
285,499377,2008/2009,2008-10-05,8398,9790,1,2
286,499378,2008/2009,2008-10-04,9788,8722,1,2
287,499379,2008/2009,2008-10-04,8226,9810,2,1
288,499380,2008/2009,2008-10-19,9790,10189,1,1
289,499381,2008/2009,2008-10-18,8697,9789,3,3
290,499382,2008/2009,2008-10-18,8177,10269,2,1
291,499383,2008/2009,2008-10-18,8721,9912,4,1
292,499384,2008/2009,2008-10-18,9810,8178,0,2
293,499385,2008/2009,2008-10-18,8722,8398,1,0
294,499386,2008/2009,2008-10-17,9911,9788,2,2
295,499387,2008/2009,2008-10-18,9904,8226,2,5
296,499388,2008/2009,2008-10-18,8295,9823,0,1
297,499389,2008/2009,2008-10-25,9823,8721,4,2
298,499390,2008/2009,2008-10-24,8178,8722,2,0
299,499391,2008/2009,2008-10-26,9789,8177,1,1
300,499392,2008/2009,2008-10-26,10269,9911,2,0
301,499393,2008/2009,2008-10-25,10189,9912,0,0
302,499394,2008/2009,2008-10-25,8398,9810,2,3
303,499395,2008/2009,2008-10-25,9904,8697,1,1
304,499396,2008/2009,2008-10-25,9788,8295,1,0
305,499397,2008/2009,2008-10-26,8226,9790,3,0
306,674260,2009/2010,2009-08-07,8721,10269,2,0
307,674264,2009/2010,2009-08-08,9789,8722,1,0
308,674265,2009/2010,2009-08-08,8697,9810,2,3
309,674266,2009/2010,2009-08-08,8177,9904,1,0
310,674267,2009/2010,2009-08-09,8358,9790,1,1
311,674268,2009/2010,2009-08-08,8165,10189,1,2
312,674269,2009/2010,2009-08-09,9911,9788,3,3
313,674270,2009/2010,2009-08-08,9905,8178,2,2
314,674271,2009/2010,2009-08-08,8226,9823,1,1
315,674347,2009/2010,2009-10-24,9823,9810,2,1
316,674348,2009/2010,2009-10-23,8178,9789,1,1
317,674349,2009/2010,2009-10-25,8177,8721,0,0
318,674350,2009/2010,2009-10-25,10189,9790,3,3
319,674351,2009/2010,2009-10-25,9911,8697,1,4
320,674352,2009/2010,2009-10-24,9904,10269,1,0
321,674353,2009/2010,2009-10-24,9905,8358,3,0
322,674354,2009/2010,2009-10-24,9788,8722,0,0
323,674355,2009/2010,2009-10-24,8226,8165,3,0
324,674356,2009/2010,2009-10-31,9790,9788,2,3
325,674357,2009/2010,2009-10-30,9789,8177,2,0
326,674358,2009/2010,2009-10-31,10269,9823,0,0
327,674359,2009/2010,2009-10-31,10189,8178,2,2
328,674360,2009/2010,2009-10-31,8721,9905,3,3
329,674361,2009/2010,2009-11-01,8358,8226,0,1
330,674362,2009/2010,2009-11-01,9810,9911,2,1
331,674363,2009/2010,2009-10-31,8722,9904,0,1
332,674364,2009/2010,2009-10-31,8165,8697,2,2
333,674365,2009/2010,2009-11-07,9823,10189,1,1
334,674366,2009/2010,2009-11-06,8178,9810,4,0
335,674367,2009/2010,2009-11-08,8697,9789,1,1
336,674368,2009/2010,2009-11-08,8177,8722,0,1
337,674369,2009/2010,2009-11-07,9911,8358,1,2
338,674370,2009/2010,2009-11-08,9904,9790,2,2
339,674371,2009/2010,2009-11-07,9905,8165,1,0
340,674372,2009/2010,2009-11-07,9788,10269,0,0
341,674373,2009/2010,2009-11-07,8226,8721,1,2
342,674374,2009/2010,2009-11-22,9823,8178,1,1
343,674375,2009/2010,2009-11-22,9790,9911,0,1
344,674376,2009/2010,2009-11-21,9789,9905,0,0
345,674377,2009/2010,2009-11-21,10269,8177,1,1
346,674378,2009/2010,2009-11-21,10189,9904,2,0
347,674379,2009/2010,2009-11-21,8721,8165,2,3
348,674380,2009/2010,2009-11-21,8358,8697,0,6
349,674381,2009/2010,2009-11-21,9810,9788,1,2
350,674382,2009/2010,2009-11-21,8722,8226,0,4
351,674383,2009/2010,2009-11-29,8178,10269,4,0
352,674384,2009/2010,2009-11-28,8697,8721,2,2
353,674385,2009/2010,2009-11-28,8177,9810,1,3
354,674386,2009/2010,2009-11-28,8165,8358,0,1
355,674390,2009/2010,2009-11-27,9911,8722,0,0
356,674391,2009/2010,2009-11-29,9904,9823,0,3
357,674392,2009/2010,2009-11-28,9905,9790,1,1
358,674393,2009/2010,2009-11-28,9788,10189,1,0
359,674394,2009/2010,2009-11-28,8226,9789,1,2
360,674395,2009/2010,2009-12-04,9823,9788,2,1
361,674396,2009/2010,2009-12-05,9790,8226,0,0
362,674397,2009/2010,2009-12-05,9789,8165,4,0
363,674398,2009/2010,2009-12-05,10269,9911,1,1
364,674399,2009/2010,2009-12-06,10189,8177,2,0
365,674400,2009/2010,2009-12-05,8721,8358,2,2
366,674401,2009/2010,2009-12-05,9810,9905,2,0
367,674402,2009/2010,2009-12-06,8722,8697,0,0
368,674403,2009/2010,2009-12-05,9904,8178,0,0
369,674404,2009/2010,2009-12-12,8697,10189,0,2
370,674405,2009/2010,2009-12-11,8177,8178,2,2
371,674406,2009/2010,2009-12-13,8721,9789,1,3
372,674407,2009/2010,2009-12-12,8358,8722,0,0
373,674408,2009/2010,2009-12-12,8165,9790,0,4
374,674409,2009/2010,2009-12-12,9911,9823,1,5
375,674410,2009/2010,2009-12-13,9905,10269,1,1
376,674411,2009/2010,2009-12-12,9788,9904,5,3
377,674412,2009/2010,2009-12-12,8226,9810,1,1
378,674413,2009/2010,2009-12-19,9823,8177,5,2
379,674414,2009/2010,2009-12-19,8178,9788,3,2
380,674415,2009/2010,2009-12-20,9790,8697,2,1
381,674416,2009/2010,2009-12-19,9789,8358,1,0
382,674417,2009/2010,2009-12-19,10269,8226,3,1
383,674418,2009/2010,2009-12-18,10189,9905,1,0
384,674419,2009/2010,2009-12-19,9810,8721,2,2
385,674420,2009/2010,2009-12-20,8722,8165,3,0
386,674421,2009/2010,2009-12-19,9904,9911,2,3
387,674422,2009/2010,2010-01-15,9823,8226,2,0
388,674423,2009/2010,2010-01-16,8178,9905,4,2
389,674424,2009/2010,2010-01-16,9790,8358,2,0
390,674425,2009/2010,2010-01-16,10269,8721,3,1
391,674426,2009/2010,2010-01-17,10189,8165,1,0
392,674427,2009/2010,2010-01-16,9810,8697,1,0
393,674428,2009/2010,2010-01-17,8722,9789,2,3
394,674429,2009/2010,2010-01-16,9904,8177,0,3
395,674430,2009/2010,2010-01-16,9788,9911,1,2
396,674431,2009/2010,2010-01-23,9789,9790,1,0
397,674432,2009/2010,2010-01-23,8697,9823,2,3
398,674433,2009/2010,2010-01-23,8177,9788,0,0
399,674434,2009/2010,2010-01-24,8721,8722,2,3
400,674435,2009/2010,2010-01-22,8358,10269,0,1
401,674436,2009/2010,2010-01-23,8165,9810,1,1
402,674437,2009/2010,2010-01-23,9911,10189,2,2
403,674438,2009/2010,2010-01-23,9905,9904,1,0
404,674439,2009/2010,2010-01-24,8226,8178,0,3
405,674272,2009/2010,2009-08-15,9823,8697,1,1
406,674273,2009/2010,2009-08-15,8178,8226,1,0
407,674274,2009/2010,2009-08-15,9790,9789,4,1
408,674275,2009/2010,2009-08-15,10269,8358,4,2
409,674276,2009/2010,2009-08-16,10189,9911,3,0
410,674277,2009/2010,2009-08-15,9810,8165,1,1
411,674278,2009/2010,2009-08-15,8722,8721,1,3
412,674279,2009/2010,2009-08-15,9904,9905,1,1
413,674280,2009/2010,2009-08-16,9788,8177,2,1
414,674440,2009/2010,2010-01-30,9823,9905,3,0
415,674441,2009/2010,2010-01-31,8178,8358,3,1
416,674442,2009/2010,2010-01-29,9790,8721,1,1
417,674443,2009/2010,2010-01-31,10269,9789,4,1
418,674444,2009/2010,2010-01-30,8177,9911,0,0
419,674445,2009/2010,2010-01-30,10189,8226,2,0
420,674446,2009/2010,2010-01-30,9810,8722,1,2
421,674447,2009/2010,2010-01-30,9904,8165,1,3
422,674448,2009/2010,2010-01-30,9788,8697,4,3
423,674449,2009/2010,2010-02-07,9789,9810,2,3
424,674453,2009/2010,2010-02-05,8697,8177,2,1
425,674454,2009/2010,2010-02-06,8721,9823,1,3
426,674455,2009/2010,2010-02-06,8358,10189,0,0
427,674456,2009/2010,2010-02-06,8722,9790,3,3
428,674457,2009/2010,2010-02-06,8165,10269,1,2
429,674458,2009/2010,2010-02-06,9911,8178,1,1
430,674459,2009/2010,2010-02-07,9905,9788,1,0
431,674460,2009/2010,2010-02-06,8226,9904,2,1
432,674461,2009/2010,2010-02-13,9823,9789,3,1
433,674462,2009/2010,2010-02-13,8178,8721,2,1
434,674463,2009/2010,2010-02-13,10269,9790,1,3
435,674464,2009/2010,2010-02-13,8177,9905,1,1
436,674465,2009/2010,2010-02-14,10189,8722,2,0
437,674466,2009/2010,2010-02-14,9810,8358,2,1
438,674467,2009/2010,2010-02-13,9911,8226,2,1
439,674468,2009/2010,2010-02-13,9904,8697,1,5
440,674469,2009/2010,2010-02-12,9788,8165,2,1
441,674470,2009/2010,2010-02-20,9790,9810,0,0
442,674471,2009/2010,2010-02-20,9789,9904,4,1
